effect_var,cause_var,E,tau,tp,nn,n_lib,n_pred,rmse,te,pval,cause_pair,order,family_w_n,family,scientific_name,common_jp_name,coastal_fish,avr_identity,avr_lod,water_area,habitat,depth_s,depth_d,n_reads,freq
water_temp,Taxa0479,11,1,-2,12,349,349,0.4264928764779408,0.014453454537150745,0.014,water_temp_CausedBy_Taxa0479,Perciformes,391_Kyphosidae,Kyphosidae,Girella punctata,メジナ,C,100,HIGH,S,reef-associated,NA,NA,"953,938",532
water_temp,Taxa0207,8,1,0,9,403,403,1.094043090887369,0.00772740460662201,0.04,water_temp_CausedBy_Taxa0207,Atheriniformes,251_Atherinidae,Atherinidae,Atherion elymus,ムギイワシ,C,100,HIGH,S,reef-associated,0,3,"432,349",449
water_temp,Taxa0598,11,1,-5,12,349,349,0.6478913350001285,0.009311757779972507,0.0145,water_temp_CausedBy_Taxa0598,Perciformes,447_Blenniidae,Blenniidae,Istiblennius enosimae,カエルウオ,C,99.99,MODERATE,NA,NA,NA,NA,711100,409
water_temp,Taxa0020,11,1,0,12,349,349,0.7547285936226261,0.01170884334743616,0.0415,water_temp_CausedBy_Taxa0020,Anguilliformes,079_Muraenidae,Muraenidae,Gymnothorax kidako,ウツボ,C,99.98,HIGH,S,reef-associated,2,350,217908,408
water_temp,Taxa0601,11,1,-5,12,349,349,0.7899190822888038,0.017443179764097705,0.003,water_temp_CausedBy_Taxa0601,Perciformes,447_Blenniidae,Blenniidae,Parablennius yatabei,イソギンポ,C,99.97,HIGH,S,demersal,NA,NA,131707,379
water_temp,Taxa0594,11,1,-1,12,349,349,1.190807769030326,0.006042087624025194,0.042,water_temp_CausedBy_Taxa0594,Perciformes,447_Blenniidae,Blenniidae,Entomacrodus stellifer stellifer,ホシギンポ,C,100,HIGH,S,reef-associated,NA,NA,160278,377
water_temp,Taxa0477,11,1,-2,12,349,349,0.7275452871465801,0.011840082515707617,0.0435,water_temp_CausedBy_Taxa0477,Perciformes,391_Kyphosidae,Kyphosidae,Girella leonina,クロメジナ,C,100,HIGH,S,reef-associated,1,15,211932,363
water_temp,Taxa0599,11,1,-5,12,349,349,0.7772175037425466,0.03464457988449007,0.002,water_temp_CausedBy_Taxa0599,Perciformes,447_Blenniidae,Blenniidae,Omobranchus elegans,ナベカ,C,99.99,HIGH,S,demersal,NA,NA,101540,292
water_temp,Taxa0204,8,1,-2,9,403,403,1.133827466111029,0.0137303588341057,0.029,water_temp_CausedBy_Taxa0204,Atheriniformes,247_Notocheiridae,Notocheiridae,Iso flosmaris,ナミノハナ,C,99.99,HIGH,S,demersal,NA,NA,"90,392",289
water_temp,Taxa0665,11,1,-5,12,349,349,0.8606261205368487,0.008912389778432561,0.0125,water_temp_CausedBy_Taxa0665,Perciformes,460_Gobiidae,Gobiidae,Chaenogobius gulosus,ドロメ,C,99.99,HIGH,BS,demersal,0,2,109082,269
water_temp,Taxa0336,11,1,-5,12,349,349,1.216317228093416,0.01247525125122051,0.001,water_temp_CausedBy_Taxa0336,Perciformes,332_Moronidae,Moronidae,Lateolabrax japonicus,スズキ,C,99.99,HIGH,FBS,reef-associated,5,NA,"169,249",260
water_temp,Taxa0708,11,1,0,12,349,349,0.7282603199185366,0.0118520568385444,0.0445,water_temp_CausedBy_Taxa0708,Perciformes,460_Gobiidae,Gobiidae,Pterogobius elapoides,キヌバリ,C,99.99,LOW,S,demersal,NA,NA,45808,256
water_temp,Taxa0510,11,1,-5,12,349,349,0.8822280412309846,0.026121936506103116,0,water_temp_CausedBy_Taxa0510,Perciformes,410_Embiotocidae,Embiotocidae,Ditrema temminckii temminckii,ウミタナゴ,C,100,LOW,NA,NA,NA,NA,"116,929",241
water_temp,Taxa0616,8,1,-3,9,403,403,0.9410786840468821,0.029964363381938062,0.0365,water_temp_CausedBy_Taxa0616,Perciformes,450_Chaenopsidae,Chaenopsidae,Neoclinus bryope,コケギンポ,C,100,HIGH,S,demersal,NA,NA,128423,238
water_temp,Taxa0337,8,1,-1,9,403,403,0.738828818864816,0.021394145183955382,0.046,water_temp_CausedBy_Taxa0337,Perciformes,332_Moronidae,Moronidae,Lateolabrax latus,ヒラスズキ,C,99.98,HIGH,S,demersal,NA,NA,"55,880",228
