"","model","linear_Tvalue","linear_Pvalue","gam_edf","gam_Fvalue","gam_Pvalue"
"1","In-IS, water_temp",1.17015905369999,0.24193997674541,4.99703170716,32.4621061632198,0
"2","In-IS, richness",0.74722488131776,0.454929687218742,2.8641864124824,3.17151474153293,0.0631403412542705
"3","In-IS, total DNA",-1.42917813399033,0.15295634739364,2.97985851010658,14.4774650819004,0
"4","Out-IS, water_temp",0.707387646296726,0.479327398722765,4.79697596592052,22.4842827916749,0
"5","Out-IS, richness",-4.93440749413032,8.05308659655761e-07,1.00000003744975,24.3486352762368,8.23990551845899e-07
"6","Out-IS, total DNA",-2.86102849164336,0.00422361741979972,5.60745594476764,36.6038157459294,0
"7","In-IS, salinity",0.444606903292626,0.656604911116754,4.20044709596193,6.71143215335938,2.1789805214445e-05
"8","In-IS, tide",-4.93144352533504,8.17623596110643e-07,1.00002399030255,24.3208443597433,8.3604812417537e-07
"9","In-IS, wave",1.36803904921387,0.171303107400471,2.84052724595896,4.68499490668999,0.00233707256857008
"10","Out-IS, salinity",-0.895867867764763,0.370325686494681,7.70006950083943,3.28024007059272,0.000619037679830958
"11","Out-IS, tide",0.647484537967434,0.517319971954773,1.0000666748236,0.419301644752201,0.517285812762489
"12","Out-IS, wave",2.81414916277033,0.00489166365181051,3.92851960809993,7.81789511939695,6.52603215739456e-06
