"","time_code","site_code","site_name","unique_code","date","time","weather","wind_m","wave_m","lat_n","long_e","water_temp","salinity","filtered_vol","water_color","tide","water_q_tool","sampling_person","linear_dist","qpcr_2ul","qpcr_2ul_replaced","stdfish_reads","stdfish_reads_replaced","stdfish_positive","conv_factor","total_reads","total_dna_estimated","total_dna_per_ml"
"S001","BP01","St01","Isumi","BP01-St01-Isumi",2017-08-28,"7:00",1,"SSW_3.1",1.1,35.20274,140.39362,26.6,33.6,1000,1,110,"Q974590","Miya",0,14.555,14.555,424,424,TRUE,0.0343278301886792,20000,686.556603773585,34.3278301886792
"S002","BP01","St02","Katsuura","BP01-St02-Katuura",2017-08-28,"8:00",1,"SSW_3.1",1.1,35.14075,140.29029,26.1,34.2,1000,1,118,"Q974590","Miya",13.5,3.515,3.515,43,43,TRUE,0.0817441860465116,19986,1633.73930232558,81.6869651162791
"S003","BP01","St03","Kominato","BP01-St03-Kominato",2017-08-28,"8:35",1,"SSE_2.4",1.1,35.1194,140.18449,26.3,33.7,1000,1,123,"Q974590","Miya",26.1,0,0.691333333,0,12,FALSE,0.0576111110833333,20000,1152.22222166667,57.6111110833333
"S004","BP01","St04","Emi","BP01-St04-Emi",2017-08-28,"9:40",1,"SSE_2.4",1.1,35.05605,140.07296,26.8,34.2,1000,1,123,"Q974590","Miya",43.1,1.443666667,1.443666667,132,132,TRUE,0.0109368686893939,19948,218.16865661603,10.9084328308015
"S005","BP01","St05","Chikura","BP01-St05-Chikura",2017-08-28,"10:50",1,"SSE_2.4",1.1,34.94277,139.96443,27.6,35.5,1000,1,95,"Q974590","Miya",62.5,3.305833333,3.305833333,55,55,TRUE,0.0601060606,20000,1202.121212,60.1060606
"S006","BP01","St06","Mera","BP01-St06-Mera",2017-08-28,"11:50",1,"SSE_2.4",1.1,34.91084,139.82427,28,35.3,1000,1,90,"Q974590","Miya",79,0,0.691333333,23,23,FALSE,0.030057971,19914,598.574434494,29.9287217247
"S007","BP01","St07","Banda","BP01-St07-Banda",2017-08-28,"12:50",1,"NW_2.4",1.1,34.9758,139.76752,28.3,36,1000,1,81,"Q974590","Miya",91.3,22.85333333,22.85333333,355,355,TRUE,0.0643755868450704,19982,1286.3529763382,64.3176488169099
"S008","BP01","St08","Taibusa","BP01-St08-Taibusa",2017-08-29,"5:30",1,"NW_2.4",1.3,35.03524,139.8159,25.4,34.6,1000,1,81,"Q974590","Miya",110.7,18.10166667,18.10166667,523,523,TRUE,0.0346112173422562,19989,691.84362345436,34.592181172718
"S009","BP01","St09","Nishigasaki","BP01-St09-Nishigasaki",2017-08-29,"8:25",1,"NW_2.4",1.3,35.1016,139.82471,26.3,33.8,1000,1,115,"Q974590","Miya",124.5,19.30133333,19.30133333,382,382,TRUE,0.0505270506020942,19992,1010.13679563707,50.5068397818534
"S010","BP01","St10","Myogane","BP01-St10-Myogane",2017-08-29,"9:15",1,"NW_2.4",1.3,35.1548,139.81796,26,34.5,1000,1,117,"Q974590","Miya",132.5,1.3155,1.3155,0,12,FALSE,0.109625,20000,2192.5,109.625
"S011","BP01","St11","Tsuhama","BP01-St11-Tsuhama",2017-08-29,"9:45",1,"SW_3.0",1.3,35.27181,139.84696,NA,NA,1000,2,NA,NA,"Miya",139.5,30.05666667,30.05666667,746,746,TRUE,0.0402904378954424,20000,805.808757908847,40.2904378954424
"S012","BP02","St01","Isumi","BP02-St01-Isumi",2017-09-14,"6:45",1,"E_2.5",1.6,35.20274,140.39362,24,29.8,1000,1,68,"Q974622","Miya",0,33.57833333,33.57833333,770,770,TRUE,0.0436082251038961,19909,868.196153593467,43.4098076796734
"S013","BP02","St02","Katsuura","BP02-St02-Katuura",2017-09-14,"7:45",1,"E_2.5",1.6,35.14075,140.29029,24.8,33.8,1000,1,80,"Q974622","Miya",13.5,3.733,3.733,530,530,TRUE,0.00704339622641509,19925,140.339669811321,7.01698349056604
