"","order","family_w_n","family","scientific_name","common_jp_name","coastal_fish","avr_identity","avr_lod","water_area","habitat","depth_s","depth_d","n_reads","freq"
"Taxa0001","Myxiniformes","001_Myxinidae","Myxinidae","Eptatretus atami","クロヌタウナギ","D","100","MODERATE","S","bathydemersal",300,536,"21",1
"Taxa0002","Myxiniformes","001_Myxinidae","Myxinidae","U98.5_Myxine garmani","ホソヌタウナギと近縁な種","D","90","MODERATE","S","bathydemersal",500,800,"51",1
"Taxa0003","Petromyzontiformes","002_Petromyzontidae","Petromyzontidae","Lethenteron spN","カワヤツメと同じ属の種","F","100","MODERATE",NA,NA,NA,NA,"40",2
"Taxa0004","Squaliformes","037_Somniosidae","Somniosidae","Somniosus microcephalus","ニシオンデンザメ","D","100","MODERATE","BS","benthopelagic",0,2200,"202",5
"Taxa0005","Squatiniformes","040_Squatinidae","Squatinidae","Squatina japonica","カスザメ","C","100","HIGH","S","demersal",NA,NA,"97",2
"Taxa0006","Rajiformes","048_Rajidae","Rajidae","Amblyraja georgiana","ミツボシカスベと同じ属の種","D","99.4","LOW","S","bathydemersal",20,350,"165",2
"Taxa0007","Rajiformes","048_Rajidae","Rajidae","Bathyraja kincaidii","チヒロカスベと同じ属の種","D","99.4","LOW",NA,NA,NA,NA,"63",2
"Taxa0008","Rajiformes","048_Rajidae","Rajidae","Bathyraja matsubarai","マツバラエイ","D","98.9","LOW","S","bathydemersal",120,2000,"20",1
"Taxa0009","Rajiformes","048_Rajidae","Rajidae","Rajella bigelowi","フカミガンギエイと同じ属の種","D","100","MODERATE","S","bathydemersal",650,4156,"132",4
"Taxa0010","Rajiformes","048_Rajidae","Rajidae","Rajella fyllae","フカミガンギエイと同じ属の種","D","99.4","LOW","S","bathydemersal",170,2050,"43",1
"Taxa0011","Anguilliformes","074_Anguillidae","Anguillidae","Anguilla japonica","ウナギ","C","99.93","HIGH","FBS","demersal",1,400,"387",9
"Taxa0012","Anguilliformes","074_Anguillidae","Anguillidae","Anguilla marmorata","オオウナギ","C","100","LOW","FBS","demersal",1,400,"17",1
"Taxa0013","Anguilliformes","079_Muraenidae","Muraenidae","Anarchias sp Ansp","タカマユウツボ属の一種","C","99.84","LOW",NA,NA,NA,NA,"1892",23
"Taxa0014","Anguilliformes","079_Muraenidae","Muraenidae","Echidna xanthospilos","クモウツボと同じ属の種","C","100","LOW","S","demersal",NA,NA,"223",4
"Taxa0015","Anguilliformes","079_Muraenidae","Muraenidae","Enchelycore anatina","コケウツボ属の一種","C","98.8","HIGH","S","demersal",3,60,"75",3
"Taxa0016","Anguilliformes","079_Muraenidae","Muraenidae","Enchelycore pardalis","トラウツボ","C","99.97","HIGH","S","reef-associated",8,60,"18932",153
"Taxa0017","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax chilospilus","ミナミウツボ","C","99.7","HIGH","S","reef-associated",1,45,"83",2
"Taxa0018","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax eurostus","ワカウツボ","C","100","HIGH","S","reef-associated",1,74,"191",2
"Taxa0019","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax isingteena","ニセゴイシウツボ","C","100","HIGH","S","reef-associated",3,30,"43",1
"Taxa0020","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax kidako","ウツボ","C","99.98","HIGH","S","reef-associated",2,350,"217908",408
"Taxa0021","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax leucostigma","ユリウツボ","C","99.4","LOW",NA,NA,NA,NA,"54",1
"Taxa0022","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax meleagris","ハナビラウツボ","C","100","HIGH","FBS","reef-associated",1,51,"41",1
"Taxa0023","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax phasmatodes","シノビウツボ","C","98.8","HIGH","S","demersal",NA,NA,"62",1
"Taxa0024","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax pictus","アセウツボ","C","100","HIGH","BS","reef-associated",5,100,"385",1
"Taxa0025","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax reticularis","アミウツボ","C","100","LOW","S","demersal",NA,56,"440",7
"Taxa0026","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax thyrsoideus","サビウツボ","C","100","HIGH","S","reef-associated",0,30,"50",1
"Taxa0027","Anguilliformes","079_Muraenidae","Muraenidae","U98.5_Enchelycore anatina gotu1","コケウツボ属の一種と近縁な種","C","98.13","HIGH","S","demersal",3,60,"487",9
"Taxa0028","Anguilliformes","079_Muraenidae","Muraenidae","U98.5_Gymnothorax kidako gotu1","ウツボと近縁な種","C","98.22","LOW","S","reef-associated",2,350,"957",16
"Taxa0029","Anguilliformes","081_Ophichthidae","Ophichthidae","Brachysomophis crocodilinus","タツウミヘビ","C","99.4","HIGH","S","reef-associated",0,30,"31",2
"Taxa0030","Anguilliformes","081_Ophichthidae","Ophichthidae","Neenchelys sp KAUM I 113282","ムカシウミヘビと同じ属の種","D","100","LOW",NA,NA,NA,NA,"20",1
"Taxa0031","Anguilliformes","081_Ophichthidae","Ophichthidae","Ophichthus erabo","モンガラドオシ","C","99.55","HIGH","S","reef-associated",NA,155,"233",4
"Taxa0032","Anguilliformes","081_Ophichthidae","Ophichthidae","Ophisurus macrorhynchos","ダイナンウミヘビ","C","100","HIGH","S","demersal",NA,NA,"1247",11
"Taxa0033","Anguilliformes","081_Ophichthidae","Ophichthidae","Pisodonophis zophistius","ホタテウミヘビ","C","100","LOW",NA,NA,NA,NA,"210",7
"Taxa0034","Anguilliformes","081_Ophichthidae","Ophichthidae","U98.5_Brachysomophis crocodilinus","タツウミヘビと近縁な種","C","84.9","LOW","S","reef-associated",0,30,"22",1
"Taxa0035","Anguilliformes","081_Ophichthidae","Ophichthidae","U98.5_Echelus myrus","ヒレアナゴと同じ属の種と近縁な種","C","91.3","LOW","BS","demersal",3,550,"50",1
"Taxa0036","Anguilliformes","081_Ophichthidae","Ophichthidae","U98.5_Xyrias revulsus gotu1","ボウウミヘビと近縁な種","D","94.8","LOW","S","demersal",146,209,"205",6
"Taxa0037","Anguilliformes","086_Congridae","Congridae","Ariosoma scheelei","ハナアナゴと同じ属の種","D","99.7","MODERATE","S","reef-associated",9,55,"44",2
