sample_id,time_code,site_code,date_code,bp_no,st_no,water_vol_ml,bp_35,conc_pgul_35,bp_38,conc_pgul_38,a_schlegelii_dna
S001,BP01,St01,170828,1,1,1000,310,67,319,5340,14.555
S002,BP01,St02,170828,1,2,1000,304,55,312,5470,3.515
S003,BP01,St03,170828,1,3,1000,306,34,315,5920,0
S004,BP01,St04,170828,1,4,1000,310,64,315,6270,1.443666667
S005,BP01,St05,170828,1,5,1000,303,13,311,5620,3.305833333
S006,BP01,St06,170828,1,6,1000,306,32,310,5010,0
S007,BP01,St07,170828,1,7,1000,303,40,309,6500,22.85333333
S008,BP01,St08,170828,1,8,1000,301,17,319,5650,18.10166667
S009,BP01,St09,170828,1,9,1000,306,23,316,4740,19.30133333
S010,BP01,St10,170828,1,10,1000,314,40,317,6450,1.3155
S011,BP01,St11,170828,1,11,1000,313,35,314,4390,30.05666667
S012,BP02,St01,170914,2,1,1000,322,858,314,6090,33.57833333
S013,BP02,St02,170914,2,2,1000,318,321,310,4820,3.733
S014,BP02,St03,170914,2,3,1000,322,396,313,3850,0
S015,BP02,St04,170914,2,4,1000,317,550,311,6530,17.70166667
S016,BP02,St05,170914,2,5,1000,318,344,307,6800,1.049833333
S017,BP02,St06,170914,2,6,1000,316,483,308,6750,0
S018,BP02,St07,170914,2,7,1000,316,888,302,5260,42.65333333
S019,BP02,St08,170914,2,8,1000,322,438,319,4840,4.406666667
S020,BP02,St09,170914,2,9,1000,322,172,315,3790,6.723333333
S021,BP02,St10,170914,2,10,1000,321,473,313,6340,18.31333333
S022,BP02,St11,170914,2,11,800,321,1720,313,5870,136.02
S023,BP03,St01,170929,3,1,600,324,549,309,3880,5.023333333
S024,BP03,St02,170929,3,2,1000,325,1460,306,11300,9.461666667
S025,BP03,St03,170929,3,3,1000,323,1530,313,13200,2.314833333
S026,BP03,St04,170929,3,4,1000,324,549,307,11400,11.5675
S027,BP03,St05,170929,3,5,1000,325,592,309,9250,8.877333333
S028,BP03,St06,170929,3,6,1000,323,261,306,9460,0
S029,BP03,St07,170929,3,7,1000,324,552,310,12600,8.3935
S030,BP03,St08,170929,3,8,1000,327,415,307,7110,7.463833333
S031,BP03,St09,170929,3,9,1000,326,235,311,6100,1.191
S032,BP03,St10,170929,3,10,1000,324,342,312,9720,1.4025
S033,BP03,St11,170929,3,11,1000,320,950,310,12600,32.29166667
S034,BP04,St01,171012,4,1,500,337,14,317,596,0
S035,BP04,St02,171012,4,2,1000,331,8,312,2040,0
S036,BP04,St03,171012,4,3,1000,339,10,313,4280,0
S037,BP04,St04,171012,4,4,1000,333,16,310,4300,2.703333333
S038,BP04,St05,171012,4,5,1000,336,8,313,2750,2.375
S039,BP04,St06,171012,4,6,1000,334,13,306,3790,0
S040,BP04,St07,171012,4,7,1000,335,13,311,3620,16.28166667
S041,BP04,St08,171012,4,8,1000,338,7,320,3060,4.313333333
S042,BP04,St09,171012,4,9,1000,337,3,320,1870,5.195
S043,BP04,St10,171012,4,10,1000,338,11,317,4580,9.363333333
S044,BP04,St11,171012,4,11,800,337,19,315,5130,41.9
S045,BP05,St01,171025,5,1,300,NA,NA,305,1870,12.41
S046,BP05,St02,171025,5,2,1000,NA,NA,302,4870,9.39
S047,BP05,St03,171025,5,3,1000,NA,NA,302,4010,3.165
S048,BP05,St04,171025,5,4,1000,NA,NA,299,3600,2.498333333
S049,BP05,St05,171025,5,5,600,NA,NA,299,3820,0
S050,BP05,St06,171025,5,6,1000,NA,NA,297,5520,0
S051,BP05,St07,171025,5,7,700,NA,NA,296,5130,18.92833333
S052,BP05,St08,171025,5,8,1000,NA,NA,302,4550,12.35166667
S053,BP05,St09,171025,5,9,1000,NA,NA,302,4030,4.971666667
S054,BP05,St10,171025,5,10,1000,NA,NA,299,5000,6.139
S055,BP05,St11,171025,5,11,1000,NA,NA,299,4400,16.96
S056,BP06,St01,171110,6,1,1000,NA,NA,303,786,1.234666667
S057,BP06,St02,171110,6,2,1000,NA,NA,296,7010,0
S058,BP06,St03,171110,6,3,1000,NA,NA,315,1930,0
S059,BP06,St04,171110,6,4,1000,NA,NA,311,3600,1.673333333
S060,BP06,St05,171110,6,5,1000,NA,NA,307,2110,0
S061,BP06,St06,171110,6,6,1000,NA,NA,308,2960,1.492
S062,BP06,St07,171110,6,7,1000,NA,NA,309,6050,13.4445
S063,BP06,St08,171110,6,8,500,NA,NA,309,3190,15.81666667
S064,BP06,St09,171110,6,9,500,NA,NA,312,1650,0
S065,BP06,St10,171110,6,10,500,NA,NA,312,2790,5.455166667
S066,BP06,St11,171110,6,11,400,NA,NA,308,2510,13.05666667
S067,BP07,St01,171126,7,1,600,NA,NA,305,698,0
S068,BP07,St02,171126,7,2,1000,NA,NA,301,1110,0
S069,BP07,St03,171126,7,3,1000,NA,NA,307,1600,0
S070,BP07,St04,171126,7,4,1000,NA,NA,302,1600,1.338833333
S071,BP07,St05,171126,7,5,1000,NA,NA,299,2560,0
S072,BP07,St06,171126,7,6,1000,NA,NA,304,3420,0
S073,BP07,St07,171126,7,7,1000,NA,NA,308,2250,14.30516667
S074,BP07,St08,171126,7,8,1000,NA,NA,299,2610,2.006666667
S075,BP07,St09,171126,7,9,1000,NA,NA,304,1290,6.251666667
S076,BP07,St10,171126,7,10,1000,NA,NA,306,1570,6.213333333
S077,BP07,St11,171126,7,11,1000,NA,NA,304,3760,15.08333333
S078,BP08,St01,171210,8,1,500,NA,NA,320,1280,5.741666667
S079,BP08,St02,171210,8,2,1000,NA,NA,311,11600,0
