Sample_ID,sample_full_code,code1,code2,code3,code4,code5
S001,065-BP01-St01-Isumi_S65,65,BP01,St01,Isumi,S65
S002,066-BP01-St02-Katsuura_S66,66,BP01,St02,Katsuura,S66
S003,067-BP01-St03-Kominato_S67,67,BP01,St03,Kominato,S67
S004,068-BP01-St04-Emi_S68,68,BP01,St04,Emi,S68
S005,069-BP01-St05-Chikura_S69,69,BP01,St05,Chikura,S69
S006,070-BP01-St06-Mera_S70,70,BP01,St06,Mera,S70
S007,071-BP01-St07-Banda_S71,71,BP01,St07,Banda,S71
S008,072-BP01-St08-Taibusa_S72,72,BP01,St08,Taibusa,S72
S009,073-BP01-St09-Nishigasaki_S73,73,BP01,St09,Nishigasaki,S73
S010,074-BP01-St10-Myogane_S74,74,BP01,St10,Myogane,S74
S011,075-BP01-St11-Tsuhama_S75,75,BP01,St11,Tsuhama,S75
S012,081-BP02-St01-Isumi_S81,81,BP02,St01,Isumi,S81
S013,082-BP02-St02-Katsuura_S82,82,BP02,St02,Katsuura,S82
S014,083-BP02-St03-Kominato_S83,83,BP02,St03,Kominato,S83
S015,084-BP02-St04-Emi_S84,84,BP02,St04,Emi,S84
S016,085-BP02-St05-Chikura_S85,85,BP02,St05,Chikura,S85
S017,086-BP02-St06-Mera_S86,86,BP02,St06,Mera,S86
S018,087-BP02-St07-Banda_S87,87,BP02,St07,Banda,S87
S019,088-BP02-St08-Taibusa_S88,88,BP02,St08,Taibusa,S88
S020,089-BP02-St09-Nishigasaki_S89,89,BP02,St09,Nishigasaki,S89
S021,090-BP02-St10-Myogane_S90,90,BP02,St10,Myogane,S90
S022,091-BP02-St11-Tsuhama_S91,91,BP02,St11,Tsuhama,S91
S023,097-BP03-St01-Isumi_S97,97,BP03,St01,Isumi,S97
S024,098-BP03-St02-Katsuura_S98,98,BP03,St02,Katsuura,S98
S025,099-BP03-St03-Kominato_S99,99,BP03,St03,Kominato,S99
S026,100-BP03-St04-Emi_S100,100,BP03,St04,Emi,S100
S027,101-BP03-St05-Chikura_S101,101,BP03,St05,Chikura,S101
S028,102-BP03-St06-Mera_S102,102,BP03,St06,Mera,S102
S029,103-BP03-St07-Banda_S103,103,BP03,St07,Banda,S103
S030,104-BP03-St08-Taibusa_S104,104,BP03,St08,Taibusa,S104
S031,105-BP03-St09-Nishigasaki_S105,105,BP03,St09,Nishigasaki,S105
S032,106-BP03-St10-Myogane_S106,106,BP03,St10,Myogane,S106
S033,107-BP03-St11-Tsuhama_S107,107,BP03,St11,Tsuhama,S107
S034,113-BP04-St01-Isumi_S113,113,BP04,St01,Isumi,S113
S035,114-BP04-St02-Katsuura_S114,114,BP04,St02,Katsuura,S114
S036,115-BP04-St03-Kominato_S115,115,BP04,St03,Kominato,S115
S037,116-BP04-St04-Emi_S116,116,BP04,St04,Emi,S116
S038,117-BP04-St05-Chikura_S117,117,BP04,St05,Chikura,S117
S039,118-BP04-St06-Mera_S118,118,BP04,St06,Mera,S118
S040,119-BP04-St07-Banda_S119,119,BP04,St07,Banda,S119
S041,120-BP04-St08-Taibusa_S120,120,BP04,St08,Taibusa,S120
S042,121-BP04-St09-Nishigasaki_S121,121,BP04,St09,Nishigasaki,S121
S043,122-BP04-St10-Myogane_S122,122,BP04,St10,Myogane,S122
S044,123-BP04-St11-Tsuhama_S123,123,BP04,St11,Tsuhama,S123
S045,129-BP05-St01-Isumi_S1,129,BP05,St01,Isumi,S1
S046,130-BP05-St02-Katsuura_S2,130,BP05,St02,Katsuura,S2
S047,131-BP05-St03-Kominato_S3,131,BP05,St03,Kominato,S3
S048,132-BP05-St04-Emi_S4,132,BP05,St04,Emi,S4
S049,133-BP05-St05-Chikura_S5,133,BP05,St05,Chikura,S5
S050,134-BP05-St06-Mera_S6,134,BP05,St06,Mera,S6
S051,135-BP05-St07-Banda_S7,135,BP05,St07,Banda,S7
S052,136-BP05-St08-Taibusa_S8,136,BP05,St08,Taibusa,S8
S053,137-BP05-St09-Nishigasaki_S9,137,BP05,St09,Nishigasaki,S9
S054,138-BP05-St10-Myogane_S10,138,BP05,St10,Myogane,S10
S055,139-BP05-St11-Tsuhama_S11,139,BP05,St11,Tsuhama,S11
S056,145-BP06-St01-Isumi_S17,145,BP06,St01,Isumi,S17
S057,146-BP06-St02-Katsuura_S18,146,BP06,St02,Katsuura,S18
S058,147-BP06-St03-Kominato_S19,147,BP06,St03,Kominato,S19
S059,148-BP06-St04-Emi_S20,148,BP06,St04,Emi,S20
S060,149-BP06-St05-Chikura_S21,149,BP06,St05,Chikura,S21
S061,150-BP06-St06-Mera_S22,150,BP06,St06,Mera,S22
S062,151-BP06-St07-Banda_S23,151,BP06,St07,Banda,S23
S063,152-BP06-St08-Taibusa_S24,152,BP06,St08,Taibusa,S24
S064,153-BP06-St09-Nishigasaki_S25,153,BP06,St09,Nishigasaki,S25
S065,154-BP06-St10-Myogane_S26,154,BP06,St10,Myogane,S26
S066,155-BP06-St11-Tsuhama_S27,155,BP06,St11,Tsuhama,S27
S067,161-BP07-St01-Isumi_S33,161,BP07,St01,Isumi,S33
S068,162-BP07-St02-Katsuura_S34,162,BP07,St02,Katsuura,S34
S069,163-BP07-St03-Kominato_S35,163,BP07,St03,Kominato,S35
S070,164-BP07-St04-Emi_S36,164,BP07,St04,Emi,S36
S071,165-BP07-St05-Chikura_S37,165,BP07,St05,Chikura,S37
S072,166-BP07-St06-Mera_S38,166,BP07,St06,Mera,S38
S073,167-BP07-St07-Banda_S39,167,BP07,St07,Banda,S39
S074,168-BP07-St08-Taibusa_S40,168,BP07,St08,Taibusa,S40
